page_name,post_id,comment_no,reply_no,comment_text,username_anonymised,n_reactions,post_date,collection_date,replied_to_username
Unknown,prgb_post003,1,0,Keep up the good work,b81aa6b5e2d09f93fd9e6b8b02bfbe80da778192,0,30w,1/24/2026 4:10,
Unknown,prgb_post003,2,0,"ye awaaam chitral me,punjabi pakistani souch k saat mast hai.",9586737e5924be9f0d007568234f4eea86d0b942,0,30w,1/24/2026 4:10,
Unknown,prgb_post003,3,0,,dbd7ad99f28fabaa8256826d4db10f947bf60fc3,0,30w,1/24/2026 4:10,
Unknown,prgb_post003,4,0,Right,1942a507d50009aa59a71d0e38a2f2a95c2a4426,0,30w,1/24/2026 4:10,
Unknown,prgb_post024,1,0,"It seems orator is against invaders. Fact is that great colonisation is harmful for locals. On the other hand we observe people from hills are migrating to plains . Now it is time all gilgiti hunzavi chitrali, swati butt kashmirimust be forced back to mountains",4abdfb4f3df4363d7242ffa3aae21b51848b06f4,0,35w,1/24/2026 4:16,
Unknown,prgb_post024,2,0,Love you so much,13aa3b0061d382a5d4dfb31dd5df1492746356ea,0,35w,1/24/2026 4:16,
Unknown,prgb_post024,3,0,وہ لوگ کدھر ہیں جو کہتے ہیں کہ ہم نے ڈوگرا سے ازادی لی تھی اج تو ان کو احساس ہو گیا ہوگا کہ ڈوگرا نے تو ان کو زمینوں کا مالک بنایا اور خالصہ سرکار کا ایسی جعلی ازادی مبارک ہو اپ کو … See more,fa26dbb5301521381b85a3f189f605f3e643cf4e,0,35w,1/24/2026 4:16,
Unknown,prgb_post024,3,1,Biñt E Kashmir bataya he comrade bar bar ye sawal mat Karyn sare bizi he polo dkh rahe hn,4c7ab29cb32397ee97a2eb77ec42bc308d6e28b4,0,35w,1/24/2026 4:16,
Unknown,prgb_post024,4,0,,852d10f8477b58299cfe23616805b9d0e3bd870e,0,35w,1/24/2026 4:16,
Unknown,prgb_post024,5,0,Great,cdaa8f5c6f2a868543b94ef3bdfa0b1a34aa049f,0,35w,1/24/2026 4:16,
Unknown,prgb_post024,6,0,Absolutely right,2be86b7b8c380cb85738a88769664701b718d28e,0,35w,1/24/2026 4:16,
Unknown,prgb_post024,7,0,Inshallah,26d85aa2f5129ab01f2883a82a9aa063dd0c1d31,0,35w,1/24/2026 4:16,
Unknown,prgb_post024,8,0,https://www.facebook.com/share/p/197PzSGPhx/?mibextid=oFDknk,282255459f032c0cb3e43f00cda20bd2ac97fdc0,0,35w,1/24/2026 4:16,
Unknown,prgb_post024,9,0,انشااللۀ,2edf2f379e4c5c769c54af9d64148fe2ddfc7264,0,35w,1/24/2026 4:16,
