page_name,post_id,comment_no,reply_no,comment_text,username_anonymised,post_date,collection_date,replied_to_username
Progressive Gilgit - Baltistan,prgb_post003,1,0,keep up the good work,b81aa6b5e2d09f93fd9e6b8b02bfbe80da778192,30w,1/24/2026 4:10,
Progressive Gilgit - Baltistan,prgb_post003,2,0,ye awaaam chitral mepunjabi pakistani souch k saat mast hai,9586737e5924be9f0d007568234f4eea86d0b942,30w,1/24/2026 4:10,
Progressive Gilgit - Baltistan,prgb_post003,4,0,right,1942a507d50009aa59a71d0e38a2f2a95c2a4426,30w,1/24/2026 4:10,
Progressive Gilgit - Baltistan,prgb_post024,1,0,it seems orator is against invaders fact is that great colonisation is harmful for locals on the other hand we observe people from hills are migrating to plains now it is time all gilgiti hunzavi chitrali swati butt kashmirimust be forced back to mountains,4abdfb4f3df4363d7242ffa3aae21b51848b06f4,35w,1/24/2026 4:16,
Progressive Gilgit - Baltistan,prgb_post024,2,0,love you so much,13aa3b0061d382a5d4dfb31dd5df1492746356ea,35w,1/24/2026 4:16,
Progressive Gilgit - Baltistan,prgb_post024,3,0,وہ لوگ کدھر ہیں جو کہتے ہیں کہ ہم نے ڈوگرا سے ازادی لی تھی اج تو ان کو احساس ہو گیا ہوگا کہ ڈوگرا نے تو ان کو زمینوں کا مالک بنایا اور خالصہ سرکار کا ایسی جعلی ازادی مبارک ہو اپ کو,fa26dbb5301521381b85a3f189f605f3e643cf4e,35w,1/24/2026 4:16,
Progressive Gilgit - Baltistan,prgb_post024,3,1,biñt e kashmir bataya he comrade bar bar ye sawal mat karyn sare bizi he polo dkh rahe hn,4c7ab29cb32397ee97a2eb77ec42bc308d6e28b4,35w,1/24/2026 4:16,
Progressive Gilgit - Baltistan,prgb_post024,5,0,great,cdaa8f5c6f2a868543b94ef3bdfa0b1a34aa049f,35w,1/24/2026 4:16,
Progressive Gilgit - Baltistan,prgb_post024,6,0,absolutely right,2be86b7b8c380cb85738a88769664701b718d28e,35w,1/24/2026 4:16,
Progressive Gilgit - Baltistan,prgb_post024,7,0,inshallah,26d85aa2f5129ab01f2883a82a9aa063dd0c1d31,35w,1/24/2026 4:16,
Progressive Gilgit - Baltistan,prgb_post024,9,0,انشااللۀ,2edf2f379e4c5c769c54af9d64148fe2ddfc7264,35w,1/24/2026 4:16,
Progressive Gilgit - Baltistan,prgb_post024,10,0,جو نمائندے قوم کے حقِ حاکمیت اور حقِ ملکیت کو چھوڑ کر صرف سہولت کاری اور دلالی تک محدود ہو گئے ہیں انہیں عوام آنے والے انتخابات میں ان کا اصل مقام یاد دلائیں گے,7103972c9efbf3a2f953e541fc81de1d050f6308,35w,1/24/2026 4:16,
Progressive Gilgit - Baltistan,prgb_post024,10,1,bhai sb jante hy aise log kaise ate tum or b in ko kon lata hy ye vote se thori ate hain,c229c4d0ef3c617cd8cda658aff0a89a294ddf12,35w,1/24/2026 4:16,7103972c9efbf3a2f953e541fc81de1d050f6308
Progressive Gilgit - Baltistan,prgb_post026,1,0,haq advocate sab,745edb1ffcecdab3118bdbc728163684c2082feb,1y,1/24/2026 4:22,
Progressive Gilgit - Baltistan,prgb_post026,2,0,جیو,e51ed4e1d4df82657a5d1a741bae4cd8504bc5ca,1y,1/24/2026 4:22,
Progressive Gilgit - Baltistan,prgb_post026,3,0,ashfaq ahmad advocate isvthe unequivocal voice of gilgit baltistans indeginous people,86d1210af52c883fded27d1c6e626de6a19411d0,1y,1/24/2026 4:22,
Progressive Gilgit - Baltistan,prgb_post026,4,0,agree sir,8f3b3b9c2c3f10a25d20062737948838879a1e07,1y,1/24/2026 4:22,
Ibex Media Network,imn_post002,1,0,the land of gilgitbaltistan does not belong to bureaucrats military officials or the corrupt political eliteit belongs to the indigenous people who have lived on this soil for centuries cultivating its valleys and defending its mountains yet once,e95294bb3ddbd2ce8a9ff258ad8e1d5ebffc19c6,35w,1/24/2026 4:28,
Ibex Media Network,imn_post002,2,0,اگر زمین عوام کی ملکیت ہے تو لیز کے معاہدے اسلام آباد میں کیوں ہوتے ہیں گلگت بلتستان میں دستخط کیوں نہیں کیے جاتے,1752079834d3c0c5255f9e24ab34ed42bff5d41d,35w,1/24/2026 4:28,
