category,word
direct_col,colonial
direct_col,colony
direct_col,کمپنی
direct_col,سامراج
direct_col,ہمسایہ ملک پاکستان
direct_col,raj
direct_col,راج
direct_col,غلام
direct_col,ghulam
direct_col,gulam
direct_col,gulami
direct_col,gulam ibn gulam
col_collaborators,دلال
col_collaborators,دلالی
col_collaborators,غداری
col_collaborators,غدار
col_collaborators,gadar
col_collaborators,sahulat kar
col_collaborators,sahulatkar
col_collaborators,sahulatkari
col_collaborators,traitor
col_collaborators,لوٹے
col_collaborators,بے اختیار
col_collaborators,اوقات
col_collaborators,کٹھ پتلی
col_collaborators,خالصہ
col_collaborators,ڈوگرا
col_collaborators,سہولت کار
col_collaborators,سہولتکاری
col_collaborators,سہولت کاری
col_collaborators,ٹٹو
col_collaborators,ضمیر کا سودا
col_historic,dogra
col_historic,کمپنی
col_historic,east india company
col_domination,کٹھ پتلی
col_domination,ڈمی
col_domination,کٹھ پتلی
col_domination,dummy
col_domination,puppet
col_domination,najaiz
col_domination,ناجائز
col_land,قبضہ
col_land,خالصہ سرکار
col_land,لوٹ
col_land,چوری
col_land,بیچ
col_land,land grab
col_land,land grabbing
col_land,land grabing
col_land,چور
col_land,چوری
col_resistance,مسترد
col_resistance,reject
col_resistance,زندہ باد
col_resistance,زبردست
col_resistance,رہا
col_resistance,جیو
col_resistance,لیڈر
col_resistance,عظیم
col_resistance,رہنما
col_resistance,کے علاوہ
col_resistance,حقیقی
col_resistance,جدوجہد
col_resistance,struggle
col_resistance,لڑائی
col_resistance,جنگ
col_resistance,fight
col_resistance,war
col_resistance,احتجاج
col_resistance,آواز اٹھاو
