category,word
spat_frame,land
spat_frame,لینڈ
spat_frame,zamin
spat_frame,zameen
spat_frame,gilgit
spat_frame,baltistan
spat_frame,gilgit baltistan
spat_frame,hunza
spat_frame,زمین
spat_frame,گلگت
spat_frame,بلتستان
spat_frame,گلگت بلتستان
spat_frame,ھنزہ
spat_frame,skardu
spat_frame,ghizer
spat_frame,nagar
spat_frame,chilas
spat_frame,tangir
spat_frame,diamer
spat_frame,astore
spat_frame,سکردو
spat_frame,روندو
spat_frame,شگر
spat_frame,کھرمنگ
spat_frame,نگر
spat_frame,داریل
spat_frame,تانگیر
spat_frame,دیامر
spat_frame,mountain
spat_frame,river
spat_frame,valley
spat_frame,das
spat_frame,minerals
spat_frame,resources
spat_frame,water
spat_frame,پہاڈ
spat_frame,دریا
spat_frame,چراہ گاہ
spat_frame,چراگاہوں
spat_frame,معدنیات
spat_frame,وسائل
spat_frame,وطن
spat_frame,پانی
gb_government,gb government
gb_government,hakumat
gb_government,gblab
gb_government,حکومت
gb_government,سرکار
gb_government,sarkar
gb_government,حکومت گلگت بلتستان
gb_assembly,گلگت بلتستان اسمبلی
gb_assembly,اسمبلی
gb_assembly,gb assembly
gb_assembly,assembly
gb_assembly,نمائندے
gb_assembly,representatives
gb_assembly,members
gb_assembly,ممبر
gb_assembly,سیاستدان
gb_assembly,council
gb_assembly,کونسل
gb_assembly,گلگت بلتستان کونسل
gb_politicians,amjad
gb_politicians,amjad hussain
gb_politicians,amjad hussain advocate
gb_politicians,gulbar
gb_politicians,haji gulbar
gb_politicians,chief minister
gb_politicians,cm
gb_politicians,ppp
gb_politicians,pp
gb_politicians,pmln
gb_politicians,امجد
gb_politicians,امجد حسین
gb_politicians,امجد حسین ایڈوکیٹ
gb_politicians,حاجی گلبر
gb_politicians,گلبر
gb_politicians,گلبر خان
gb_politicians,عباس موسوی
gb_politicians,پاکستان پیپلز پارٹی
gb_politicians,مسلم لیگ
gb_politicians,ن لیگ
gb_politicians,لیگ
gb_politicians,پٹواری
gb_politicians,jiyala
gb_politicians,جیالا
gb_politicians,وزیر
gb_politicians,وزیر اعلی
gb_politicians,حکمران
gb_resistance activists,نواز خان ناجی
gb_resistance activists,nawaz khan naji
gb_resistance activists,naji
gb_resistance activists,ناجی
gb_resistance activists,ehsan ali
gb_resistance activists,ehsan ali advocate
gb_resistance activists,ahsan ali
gb_resistance activists,احسان علی
gb_resistance activists,ایڈوکیٹ احسان علی
gb_resistance activists,ایکشن کمیٹی
gb_resistance activists,bnf
pakistan_govt,nawaz sharif
pakistan_govt,imran khan
pakistan_govt,bilawal
pakistan_govt,zardari
pakistan_govt,general
pakistan_govt,brigadier
pakistan_govt,dc
pakistan_govt,ac
pakistan_govt,establishment
pakistan_govt,army
pakistan_govt,military
pakistan_govt,bureaucracy
pakistan_govt,officer
pakistan_govt,bureaucrat
pakistan_govt,شہباز شریف
pakistan_govt,زرداری
pakistan_govt,چیف
pakistan_govt,ڈی سی
pakistan_govt,اے سی
pakistan_govt,جج
pakistan_govt,اسٹیبلشمنٹ
pakistan_govt,فوج
pakistan_govt,fcna
pakistan_govt,جٹیال
pakistan_govt,ایف سی این اے
pakistan_govt,افسر
pakistan_govt,فوجی
legal_frame,law
legal_frame,rule
legal_frame,system
legal_frame,qanoon
legal_frame,qanun
legal_frame,constitution
legal_frame,constitutional
legal_frame,قانون
legal_frame,رول
legal_frame,نظام
legal_frame,land reforms
legal_frame,land reforms act
legal_frame,land reforms bill
legal_frame,act
legal_frame,bill
legal_frame,لینڈ ریفارمز
legal_frame,لینڈ ریفارمز ایکٹ
legal_frame,ایکٹ
legal_frame,بل
legal_frame,لینڈ ریفارمز بل
legal_frame,بجلی
legal_frame,ادارہ
legal_frame,اشرافیہ
legal_frame,ملٹی نیشنل
legal_frame,project
legal_frame,electricity
legal_frame,literacy
legal_frame,aga khan
legal_frame,aga khan fund for economic development
legal_frame,ips
legal_frame,npak
